16 окт. 2025 11:24:42,103  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@982375792
16 окт. 2025 11:24:43,158  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 11:24:43,159  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@982375792
16 окт. 2025 11:24:43,890  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1509506488
16 окт. 2025 11:24:50,707  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2134157671
16 окт. 2025 11:25:09,645  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@97688840
16 окт. 2025 11:25:10,322  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 11:25:10,322  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@97688840
16 окт. 2025 11:25:11,429  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1073041213
16 окт. 2025 11:25:11,770  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2134157671
16 окт. 2025 11:27:20,038  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1465607722
16 окт. 2025 11:27:20,812  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 11:27:20,812  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1465607722
16 окт. 2025 11:27:21,993  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@51712095
16 окт. 2025 11:27:22,344  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1857141283
16 окт. 2025 11:27:22,344  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@568239546
16 окт. 2025 11:27:24,014  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@477752498
16 окт. 2025 11:27:27,239  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@906488961
16 окт. 2025 11:27:27,239  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1574080417
16 окт. 2025 11:27:31,701  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@396653266
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2071171984
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1483264551
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@595433295
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@32789394
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1639351354
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1021197616
16 окт. 2025 11:27:31,752  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@817214666
16 окт. 2025 11:27:34,893  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@32789394
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@817214666
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1483264551
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1639351354
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@595433295
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@396653266
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2071171984
16 окт. 2025 11:27:34,894  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1021197616
16 окт. 2025 11:27:34,893  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@477752498
