16 окт. 2025 11:27:47,196  -  -   INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@2326faaf
16 окт. 2025 11:27:56,700  -  -   INFO RemoteLogger - FORM OPEN : FORM[239703145 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:28:30,922  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:28:30,926  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:28:33,702  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1477, SID: date(game)]
16 окт. 2025 11:28:33,706  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1477, SID: date(game)]
16 окт. 2025 11:28:35,106  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (-1,0,0), value : 
16 окт. 2025 11:28:35,113  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (-1,0,0)
16 окт. 2025 11:28:35,123  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (4,3,0), value : 
16 окт. 2025 11:28:35,125  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.scoreTable, TID - (117),5,RMI Runtime], indices : (4,3,0)
16 окт. 2025 11:28:38,418  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1478, SID: hostTeamName(game)]
16 окт. 2025 11:28:38,481  -  -   INFO RemoteLogger - FORM OPEN : FORM[376812863 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:28:41,522  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,0), value : К
16 окт. 2025 11:28:41,533  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,0)
16 окт. 2025 11:28:42,059  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,1), value : Ко
16 окт. 2025 11:28:42,063  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,1)
16 окт. 2025 11:28:42,210  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,2), value : Ком
16 окт. 2025 11:28:42,213  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,2)
16 окт. 2025 11:28:42,245  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,3), value : Кома
