16 окт. 2025 11:24:43,039  -  -   INFO SQLConnectionLogger - NEW CONNECTION : 15904, Time : 24, Current connections count : 1
16 окт. 2025 11:24:43,055  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,133  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,134  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,159  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,222  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,222  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,224  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,226  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 15904, Current connections count : 1
16 окт. 2025 11:24:43,913  -  -   INFO SQLConnectionLogger - NEW CONNECTION : 4796, Time : 23, Current connections count : 2
16 окт. 2025 11:24:43,921  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:43,922  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:43,924  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:43,930  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:43,933  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:43,981  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:43,983  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:44,018  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:44,020  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 4796, Current connections count : 2
16 окт. 2025 11:24:49,043  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,046  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,696  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,699  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,720  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,721  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,722  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,728  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,780  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,807  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,809  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,825  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,863  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,866  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,868  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,868  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,871  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,876  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,878  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,881  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,882  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,885  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,886  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,900  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,942  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,949  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,956  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,959  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,964  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,967  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,972  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,977  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 15904, Current connections count : 2
16 окт. 2025 11:24:49,977  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 15904, Current connections count : 2
